time_s,distance_m,speed_m_s,acceleration_m_s2,kinetic_J,potential_J,dissipated_J
0,0,0,0,0,98.1,0
0.0222222222222,0,0,0,0,98.1,0
0.0444444444444,0,0,0,0,98.1,0
0.0666666666667,0,0,0,0,98.1,0
0.0888888888889,0,0,0,0,98.1,0
0.111111111111,0,0,0,0,98.1,0
0.133333333333,0,0,0,0,98.1,0
0.155555555556,0,0,0,0,98.1,0
0.177777777778,0,0,0,0,98.1,0
0.2,0,0,0,0,98.1,0
0.222222222222,0,0,0,0,98.1,0
0.244444444444,0,0,0,0,98.1,0
0.266666666667,0,0,0,0,98.1,0
0.288888888889,0,0,0,0,98.1,0
0.311111111111,0,0,0,0,98.1,0
0.333333333333,0,0,0,0,98.1,0
0.355555555556,0,0,0,0,98.1,0
0.377777777778,0,0,0,0,98.1,0
0.4,0,0,0,0,98.1,0
0.422222222222,0,0,0,0,98.1,0
0.444444444444,0,0,0,0,98.1,0
0.466666666667,0,0,0,0,98.1,0
0.488888888889,0,0,0,0,98.1,0
0.511111111111,0,0,0,0,98.1,0
0.533333333333,0,0,0,0,98.1,0
0.555555555556,0,0,0,0,98.1,0
0.577777777778,0,0,0,0,98.1,0
0.6,0,0,0,0,98.1,0
0.622222222222,0,0,0,0,98.1,0
0.644444444444,0,0,0,0,98.1,0
0.666666666667,0,0,0,0,98.1,0
0.688888888889,0,0,0,0,98.1,0
0.711111111111,0,0,0,0,98.1,0
0.733333333333,0,0,0,0,98.1,0
0.755555555556,0,0,0,0,98.1,0
0.777777777778,0,0,0,0,98.1,0
0.8,0,0,0,0,98.1,0
0.822222222222,0,0,0,0,98.1,0
0.844444444444,0,0,0,0,98.1,0
0.866666666667,0,0,0,0,98.1,0
0.888888888889,0,0,0,0,98.1,0
0.911111111111,0,0,0,0,98.1,0
0.933333333333,0,0,0,0,98.1,0
0.955555555556,0,0,0,0,98.1,0
0.977777777778,0,0,0,0,98.1,0
1,0,0,0,0,98.1,0
1.02222222222,0,0,0,0,98.1,0
1.04444444444,0,0,0,0,98.1,0
1.06666666667,0,0,0,0,98.1,0
1.08888888889,0,0,0,0,98.1,0
1.11111111111,0,0,0,0,98.1,0
1.13333333333,0,0,0,0,98.1,0
