time_s,distance_m,speed_m_s,acceleration_m_s2,kinetic_J,potential_J,dissipated_J
0,0,0,4.905,0,98.1,0
0.0112181950521,0.000308641975309,0.0550252467307,4.905,0.00302777777778,98.0969722222,0
0.0224363901043,0.00123456790123,0.110050493461,4.905,0.0121111111111,98.0878888889,0
0.0336545851564,0.00277777777778,0.165075740192,4.905,0.02725,98.07275,0
0.0448727802085,0.00493827160494,0.220100986923,4.905,0.0484444444444,98.0515555556,0
0.0560909752607,0.00771604938272,0.275126233654,4.905,0.0756944444444,98.0243055556,0
0.0673091703128,0.0111111111111,0.330151480384,4.905,0.109,97.991,0
0.078527365365,0.0151234567901,0.385176727115,4.905,0.148361111111,97.9516388889,0
0.0897455604171,0.0197530864198,0.440201973846,4.905,0.193777777778,97.9062222222,0
0.100963755469,0.025,0.495227220577,4.905,0.24525,97.85475,0
0.112181950521,0.0308641975309,0.550252467307,4.905,0.302777777778,97.7972222222,0
0.123400145574,0.0373456790123,0.605277714038,4.905,0.366361111111,97.7336388889,0
0.134618340626,0.0444444444444,0.660302960769,4.905,0.436,97.664,0
0.145836535678,0.0521604938272,0.715328207499,4.905,0.511694444444,97.5883055556,0
0.15705473073,0.0604938271605,0.77035345423,4.905,0.593444444444,97.5065555556,0
0.168272925782,0.0694444444444,0.825378700961,4.905,0.68125,97.41875,0
0.179491120834,0.079012345679,0.880403947692,4.905,0.775111111111,97.3248888889,0
0.190709315886,0.0891975308642,0.935429194422,4.905,0.875027777778,97.2249722222,0
0.201927510938,0.1,0.990454441153,4.905,0.981,97.119,0
0.213145705991,0.111419753086,1.04547968788,4.905,1.09302777778,97.0069722222,0
0.224363901043,0.123456790123,1.10050493461,4.905,1.21111111111,96.8888888889,0
0.235582096095,0.136111111111,1.15553018135,4.905,1.33525,96.76475,0
0.246800291147,0.149382716049,1.21055542808,4.905,1.46544444444,96.6345555556,0
0.258018486199,0.163271604938,1.26558067481,4.905,1.60169444444,96.4983055556,0
0.269236681251,0.177777777778,1.32060592154,4.905,1.744,96.356,0
0.280454876303,0.192901234568,1.37563116827,4.905,1.89236111111,96.2076388889,0
0.291673071356,0.208641975309,1.430656415,4.905,2.04677777778,96.0532222222,0
0.302891266408,0.225,1.48568166173,4.905,2.20725,95.89275,0
0.31410946146,0.241975308642,1.54070690846,4.905,2.37377777778,95.7262222222,0
0.325327656512,0.259567901235,1.59573215519,4.905,2.54636111111,95.5536388889,0
0.336545851564,0.277777777778,1.65075740192,4.905,2.725,95.375,0
0.347764046616,0.296604938272,1.70578264865,4.905,2.90969444444,95.1903055556,0
0.358982241668,0.316049382716,1.76080789538,4.905,3.10044444444,94.9995555556,0
0.370200436721,0.336111111111,1.81583314211,4.905,3.29725,94.80275,0
0.381418631773,0.356790123457,1.87085838884,4.905,3.50011111111,94.5998888889,0
0.392636826825,0.378086419753,1.92588363558,4.905,3.70902777778,94.3909722222,0
0.403855021877,0.4,1.98090888231,4.905,3.924,94.176,0
0.415073216929,0.422530864198,2.03593412904,4.905,4.14502777778,93.9549722222,0
0.426291411981,0.445679012346,2.09095937577,4.905,4.37211111111,93.7278888889,0
0.437509607033,0.469444444444,2.1459846225,4.905,4.60525,93.49475,0
0.448727802085,0.493827160494,2.20100986923,4.905,4.84444444444,93.2555555556,0
0.459945997138,0.518827160494,2.25603511596,4.905,5.08969444444,93.0103055556,0
0.47116419219,0.544444444444,2.31106036269,4.905,5.341,92.759,0
0.482382387242,0.570679012346,2.36608560942,4.905,5.59836111111,92.5016388889,0
0.493600582294,0.597530864198,2.42111085615,4.905,5.86177777778,92.2382222222,0
0.504818777346,0.625,2.47613610288,4.905,6.13125,91.96875,0
0.516036972398,0.653086419753,2.53116134961,4.905,6.40677777778,91.6932222222,0
0.52725516745,0.681790123457,2.58618659634,4.905,6.68836111111,91.4116388889,0
0.538473362503,0.711111111111,2.64121184308,4.905,6.976,91.124,0
0.549691557555,0.741049382716,2.69623708981,4.905,7.26969444444,90.8303055556,0
0.560909752607,0.771604938272,2.75126233654,4.905,7.56944444444,90.5305555556,0
0.572127947659,0.802777777778,2.80628758327,4.905,7.87525,90.22475,0
0.583346142711,0.834567901235,2.86131283,4.905,8.18711111111,89.9128888889,0
0.594564337763,0.866975308642,2.91633807673,4.905,8.50502777778,89.5949722222,0
0.605782532815,0.9,2.97136332346,4.905,8.829,89.271,0
0.617000727868,0.933641975309,3.02638857019,4.905,9.15902777778,88.9409722222,0
0.62821892292,0.967901234568,3.08141381692,4.905,9.49511111111,88.6048888889,0
0.639437117972,1.00277777778,3.13643906365,4.905,9.83725,88.26275,0
0.650655313024,1.03827160494,3.19146431038,4.905,10.1854444444,87.9145555556,0
0.661873508076,1.07438271605,3.24648955711,4.905,10.5396944444,87.5603055556,0
0.673091703128,1.11111111111,3.30151480384,4.905,10.9,87.2,0
0.68430989818,1.14845679012,3.35654005057,4.905,11.2663611111,86.8336388889,0
0.695528093232,1.18641975309,3.41156529731,4.905,11.6387777778,86.4612222222,0
0.706746288285,1.225,3.46659054404,4.905,12.01725,86.08275,0
0.717964483337,1.26419753086,3.52161579077,4.905,12.4017777778,85.6982222222,0
0.729182678389,1.30401234568,3.5766410375,4.905,12.7923611111,85.3076388889,0
0.740400873441,1.34444444444,3.63166628423,4.905,13.189,84.911,0
0.751619068493,1.38549382716,3.68669153096,4.905,13.5916944444,84.5083055556,0
0.762837263545,1.42716049383,3.74171677769,4.905,14.0004444444,84.0995555556,0
0.774055458597,1.46944444444,3.79674202442,4.905,14.41525,83.68475,0
0.78527365365,1.51234567901,3.85176727115,4.905,14.8361111111,83.2638888889,0
0.796491848702,1.55586419753,3.90679251788,4.905,15.2630277778,82.8369722222,0
0.807710043754,1.6,3.96181776461,4.905,15.696,82.404,0
0.818928238806,1.64475308642,4.01684301134,4.905,16.1350277778,81.9649722222,0
0.830146433858,1.69012345679,4.07186825807,4.905,16.5801111111,81.5198888889,0
0.84136462891,1.73611111111,4.1268935048,4.905,17.03125,81.06875,0
0.852582823962,1.78271604938,4.18191875154,4.905,17.4884444444,80.6115555556,0
0.863801019015,1.8299382716,4.23694399827,4.905,17.9516944444,80.1483055556,0
0.875019214067,1.87777777778,4.291969245,4.905,18.421,79.679,0
0.886237409119,1.9262345679,4.34699449173,4.905,18.8963611111,79.2036388889,0
0.897455604171,1.97530864198,4.40201973846,4.905,19.3777777778,78.7222222222,0
0.908673799223,2.025,4.45704498519,4.905,19.86525,78.23475,0
0.919891994275,2.07530864198,4.51207023192,4.905,20.3587777778,77.7412222222,0
0.931110189327,2.1262345679,4.56709547865,4.905,20.8583611111,77.2416388889,0
0.942328384379,2.17777777778,4.62212072538,4.905,21.364,76.736,0
0.953546579432,2.2299382716,4.67714597211,4.905,21.8756944444,76.2243055556,0
0.964764774484,2.28271604938,4.73217121884,4.905,22.3934444444,75.7065555556,0
0.975982969536,2.33611111111,4.78719646557,4.905,22.91725,75.18275,0
0.987201164588,2.39012345679,4.8422217123,4.905,23.4471111111,74.6528888889,0
