time_s,displacement_m,velocity_m_s,energy_J
0,1,0,2
0.02,0.999221016718,-0.0768631551322,1.99983925281
0.04,0.996965654098,-0.147698615422,1.9987884714
0.06,0.993350889123,-0.212860904812,1.99614686024
0.08,0.988486795201,-0.272686012469,1.99139111927
0.1,0.982476903694,-0.327492301231,1.98414733627
0.12,0.975418547723,-0.377581373312,1.97416653322
0.14,0.967403189063,-0.423238895215,1.96130344163
0.16,0.958516728937,-0.464735383727,1.94549812775
0.18,0.948839803457,-0.502326954771,1.92676012999
0.2,0.93844806445,-0.536256036829,1.90515480786
0.22,0.92741244636,-0.566752050553,1.88079163473
0.24,0.915799419873,-0.594032056134,1.85381419674
0.26,0.903671232915,-0.618301369889,1.8243916864
0.28,0.891086139604,-0.639754151511,1.79271170358
0.3,0.87809861775,-0.658573963313,1.75897419757
0.32,0.864759575431,-0.674934302775,1.72338640313
0.34,0.851116547174,-0.688999109617,1.68615864027
0.36,0.837213880251,-0.700923248582,1.64750086277
0.38,0.823092911537,-0.710852969055,1.60761985385
0.4,0.808792135411,-0.718926342588,1.56671697964
0.42,0.79434736311,-0.725273679361,1.52498642154
0.44,0.779791873961,-0.73001792456,1.48261381848
0.46,0.765156558882,-0.733275035596,1.43977525811
0.48,0.750470056511,-0.735154341072,1.39663656404
0.5,0.735758882343,-0.735758882343,1.35335283237
0.52,0.721047551196,-0.735185738474,1.3100681772
0.54,0.706358693341,-0.733526335393,1.26691564968
0.56,0.691713164601,-0.730866739956,1.22401729995
0.58,0.677130150706,-0.727287939648,1.18148435557
0.6,0.662627266207,-0.722866108589,1.13941749332
0.62,0.648220648183,-0.717672860489,1.0979071848
0.64,0.633925045033,-0.71177548916,1.05703409893
0.66,0.619753900561,-0.70523719719,1.01686954667
0.68,0.60571943361,-0.698117313314,0.977475956081
0.7,0.59183271346,-0.690471499036,0.938907366933
0.72,0.578103731184,-0.682351945005,0.901209936444
0.74,0.564541467192,-0.673807557616,0.864422448709
0.76,0.55115395512,-0.664884136335,0.828576821863
0.78,0.537948342274,-0.655624542146,0.793698608043
0.8,0.524930946786,-0.646068857583,0.759807482157
0.82,0.512107311648,-0.636254538714,0.726917716304
0.84,0.499482255786,-0.626216559492,0.695038637381
0.86,0.487059922319,-0.615987548816,0.664175066007
0.88,0.474843824152,-0.605597920657,0.634327735422
0.9,0.46283688702,-0.595075997598,0.605493689432
0.92,0.451041490144,-0.584448128073,0.577666658866
0.94,0.43945950458,-0.573738797646,0.550837416293
0.96,0.428092329421,-0.562970734581,0.524994109015
