time_s,displacement_m,velocity_m_s,energy_J
0,1,0,2
0.02,0.999204355636,-0.0793422379336,1.999966284
0.04,0.996835546641,-0.157299181314,1.99973373032
0.06,0.992922302788,-0.233769096415,1.99911339397
0.08,0.987495348936,-0.308654224295,1.99792784343
0.1,0.980587324601,-0.381860872854,1.99601186545
0.12,0.972232701765,-0.453299500979,1.99321307156
0.14,0.962467701079,-0.522884794764,1.98939240554
0.16,0.951330206627,-0.590535735806,1.98442455172
0.18,0.938859679395,-0.656175661612,1.97819824463
0.2,0.925097069615,-0.71973231812,1.97061648129
0.22,0.910084728136,-0.781137904399,1.96159663762
0.24,0.893866316984,-0.840329109573,1.95107049147
0.26,0.876486719248,-0.897247142025,1.93898415497
0.28,0.857991948472,-0.951837750972,1.92529791937
0.3,0.838429057685,-1.00405124049,1.90998601631
0.32,0.817846048226,-1.05384247608,1.89303629939
0.34,0.796291778506,-1.10117088391,1.87444985081
0.36,0.773815872871,-1.1460004428,1.85424051766
0.38,0.750468630681,-1.18829966914,1.83243438312
0.4,0.726300935773,-1.22804159485,1.80906917795
0.42,0.701364166424,-1.26520373845,1.78419363778
0.44,0.675710105965,-1.29976806959,1.75786681196
0.46,0.649390854168,-1.33172096696,1.73015732988
0.48,0.622458739539,-1.36105316998,1.70114263061
0.5,0.594966232638,-1.38775972422,1.67090816204
0.52,0.566965860549,-1.41183992096,1.63954655527
0.54,0.538510122624,-1.43329723091,1.6071567804
0.56,0.509651407599,-1.45213923234,1.57384328958
0.58,0.480441912208,-1.46837753389,1.53971515302
0.6,0.45093356139,-1.48202769216,1.50488519373
0.62,0.421177930199,-1.49310912434,1.46946912637
0.64,0.391226167502,-1.50164501615,1.43358470554
0.66,0.361128921566,-1.50766222519,1.39735088861
0.68,0.330936267626,-1.51119118006,1.3608870178
0.7,0.300697637507,-1.51226577536,1.32431202607
0.72,0.270461751384,-1.51092326293,1.28774367115
0.74,0.240276551759,-1.50720413937,1.25129780152
0.76,0.210189139715,-1.50115203035,1.21508765801
0.78,0.180245713518,-1.49281357161,1.17922321428
0.8,0.150491509635,-1.48223828728,1.14381055908
0.82,0.120970746197,-1.46947846533,1.10895132291
0.84,0.0917265689963,-1.45458903079,1.07474215117
0.86,0.0628010000245,-1.43762741669,1.04127422582
0.88,0.0342348886239,-1.41865343312,1.00863283685
0.9,0.00606786526877,-1.39772913454,0.976897004748
0.92,-0.0216617019839,-1.37491868573,0.946139154849
