x_over_y,theta_B_rad,a_per_y,time_over_sqrt_y_over_g,line_time_over_sqrt_y_over_g,deepest_over_y,time_savings_percent
0.5,1.4013794559,1.20280146486,1.5369251616,1.58113883008,1,2.79631792232
0.6,1.63807372229,0.93700808134,1.58564189415,1.64924225025,1,3.85633802994
0.7,1.85690370932,0.77989737084,1.63986505729,1.72626765016,1,5.00516781782
0.8,2.05822438065,0.681034208591,1.69854548769,1.81107702763,1,6.21351484316
0.9,2.24288230065,0.616287365896,1.76075169889,1.90262975904,1,7.45694528733
1,2.41201114391,0.572917037532,1.8256821894,2,1,8.71589053017
1.1,2.56687759928,0.543671136558,1.89266302767,2.10237960416,1,9.97520029596
1.2,2.70877524881,0.524167351683,1.96113710165,2.20907220344,1,11.223494705
1.3,2.83895743466,0.511625562131,2.03064964003,2.31948270095,1,12.4524774769
1.4,2.95859883771,0.504209315092,2.10083292264,2.43310501212,1,13.6562987549
1.5,3.06877673075,0.500663355953,2.17139181027,2.5495097568,1,14.8310060597
1.6,3.17046491261,0.500104215396,2.24209086309,2.66833281283,1.00020843079,15.9740924252
1.7,3.26453532033,0.501894132212,2.31274329689,2.7892651362,1.00378826442,17.0841356428
1.8,3.35176393535,0.505562401025,2.38320174145,2.91204395571,1.01112480205,18.1605161976
1.9,3.4328387969,0.51075476018,2.45335062868,3.03644529014,1.02150952036,19.2031999837
2,3.50836876852,0.517199921687,2.52309998779,3.16227766017,1.03439984337,20.2125727423
2.1,3.57889226063,0.524686894322,2.59238042103,3.28937684068,1.04937378864,21.1893149801
2.2,3.64488547016,0.533049282959,2.66113905156,3.41760149813,1.06609856592,22.1343081392
2.3,3.70676992319,0.542154204151,2.72933626289,3.54682957019,1.0843084083,23.0485646723
2.4,3.76491924196,0.55189432169,2.79694307743,3.67695526217,1.10378864338,23.9331762829
2.5,3.81966513603,0.562182031664,2.86393904919,3.80788655293,1.12436406333,24.7892759047
2.6,3.87130266059,0.572945154458,2.93031056866,3.93954312072,1.14589030892,25.6180100364
2.7,3.92009480499,0.584123700228,2.99604949804,4.0718546143,1.16824740046,26.4205188585
2.8,3.96627648266,0.595667410341,3.06115207096,4.20475920833,1.19133482068,27.1979221807
2.9,4.01005799327,0.607533867321,3.12561800443,4.3382023927,1.21506773464,27.9513097477
3,4.05162802412,0.619687026544,3.18944978096,4.472135955,1.23937405309,28.6817347894
3.1,4.09115625169,0.632096064439,3.25265206761,4.60651712251,1.26419212888,29.3902099764
3.2,4.12879559781,0.644734466754,3.31523124523,4.74130783645,1.28946893351,30.0777051484
3.3,4.16468418803,0.657579300768,3.37719502672,4.87647413609,1.31515860154,30.7451463401
3.4,4.19894705362,0.670610629736,3.4385521472,5.01198563446,1.34122125947,31.3934157441
3.5,4.23169761321,0.683811038294,3.49931211246,5.14781507049,1.36762207659,32.0233523438
3.6,4.26303896453,0.697165245136,3.5594849948,5.28393792545,1.39433049027,32.6357530118
3.7,4.29306501289,0.710659784854,3.61908126726,5.42033209315,1.42131956971,33.2313739257
3.8,4.32186145881,0.724282744992,3.67811166935,5.55697759578,1.44856548998,33.8109321848
3.9,4.34950666411,0.738023547483,3.73658709833,5.69385633819,1.47604709497,34.3751075477
4,4.37607241301,0.751872765976,3.79451852146,5.83095189485,1.50374553195,34.9245442273
4.1,4.4016245823,0.76582197239,3.85191690537,5.96824932455,1.53164394478,35.4598526987
4.2,4.42622373263,0.779863607372,3.90879315955,6.10573500899,1.55972721474,35.9816114883
4.3,4.44992563133,0.793990870447,3.96515809128,6.24339651152,1.58798174089,36.4903689207
4.4,4.47278171559,0.808197626446,4.02102237011,6.38122245342,1.61639525289,36.9866448088
4.5,4.49483950359,0.822478325473,4.0763965001,6.5192024052,1.64495665095,37.4709320753
4.6,4.51614296022,0.836827934176,4.13129079839,6.65732679084,1.67365586835,37.9436983013
4.7,4.536732823,0.851241876511,4.1857153791,6.79558680321,1.70248375302,38.4053871974
4.8,4.55664689305,0.865715982493,4.23968014148,6.93397432934,1.73143196499,38.8564199966
4.9,4.57592029544,0.880246443715,4.29319476155,7.07248188403,1.76049288743,39.2971967699
5,4.59458571243,0.894829774601,4.34626868675,7.21110255093,1.7896595492,39.7280976653
