case_index,speed_factor,time_s,x_m,y_m,vx_m_s,vy_m_s,radius_m,speed_m_s,specific_energy_J_kg,angular_momentum_m2_s
0,0.7,21142.998455,25310527.2988,-2286712.25033,459.038989181,2745.93640618,25413615.3481,2784.04086543,-11809164.2625,70550788449.4
0,0.7,21367.9239705,25398228.3494,-1667676.33663,320.865389482,2756.71546334,25452920.2185,2775.32606084,-11809168.2018,70550788449.4
0,0.7,21592.849486,25454868.9251,-1046600.95709,182.810098322,2764.08648705,25476375.8324,2770.12520294,-11809170.5351,70550788449.4
0,0.7,21817.7750015,25480465.6606,-424249.180771,44.784350472,2768.07298834,25483997.2855,2768.4352452,-11809171.2905,70550788449.4
0,0.7,22042.7005169,25475015.2113,198619.530479,-93.3007835792,2768.68361045,25475789.4821,2770.25521767,-11809170.4769,70550788449.4
0,0.7,22267.6260324,25438494.2069,821245.995787,-231.534487982,2765.91220793,25451747.1404,2775.58616532,-11809168.0847,70550788449.4
0,0.7,22492.5515479,25370859.1832,1442867.98876,-370.006294548,2759.73776472,25411854.7872,2784.43121446,-11809164.0852,70550788449.4
0,0.7,22717.4770634,25272046.4938,2062716.87442,-508.806173196,2750.12414951,25356086.7424,2796.79576651,-11809158.43,70550788449.4
0,0.7,22942.4025788,25141972.2016,2680014.17267,-648.024614361,2737.01970342,25284407.0951,2812.68781732,-11809151.0505,70550788449.4
0,0.7,23167.3280943,24980531.953,3293968.00976,-787.75269731,2720.35665184,25196769.672,2832.11839889,-11809141.8565,70550788449.4
0,0.7,23392.2536098,24787600.8386,3903769.41708,-928.082137399,2700.05032842,25093118.0007,2855.10213998,-11809130.7342,70550788449.4
0,0.7,23617.1791253,24563033.2466,4508588.43363,-1069.10530398,2675.9981954,24973385.2719,2881.65794167,-11809117.5445,70550788449.4
0,0.7,23842.1046408,24306662.7154,5107569.96412,-1210.9151988,2648.07864019,24837494.3039,2911.80976427,-11809102.12,70550788449.4
0,0.7,24067.0301562,24018301.796,5699829.33998,-1353.60538236,2616.14952255,24685357.5156,2945.58752297,-11809084.262,70550788449.4
