time_s,x_m,y_m,vx_m_s,vy_m_s,radius_m,speed_m_s,acceleration_m_s2,specific_energy_J_kg,angular_momentum_m2_s
16419.56263,-21129062.8025,14273072.4164,-2213.15590738,-3275.02960042,25498193.8794,3952.70514382,0.613085759703,-7820640.58862,100786840642
16644.4881454,-21614006.9596,13527753.5559,-2097.57597476,-3350.20479664,25498341.3797,3952.68227275,0.613078666686,-7820640.56115,100786840642
16869.4136609,-22072659.5172,12765979.3347,-1979.44649056,-3421.30351761,25498480.8672,3952.66064425,0.613071959105,-7820640.53516,100786840642
17094.3391764,-22504463.0041,11988676.6412,-1858.91111694,-3488.23948129,25498612.1723,3952.64028461,0.613065645096,-7820640.5107,100786840642
17319.2646919,-22908892.5996,11196791.2078,-1736.1164264,-3550.9314625,25498735.1352,3952.62121856,0.613059732322,-7820640.4878,100786840642
17544.1902074,-23285456.7684,10391286.462,-1611.21172413,-3609.30339059,25498849.6064,3952.60346927,0.613054227954,-7820640.46647,100786840642
17769.1157228,-23633697.8548,9573142.35651,-1484.34886711,-3663.28444081,25498955.4467,3952.58705832,0.613049138669,-7820640.44676,100786840642
17994.0412383,-23953192.6366,8743354.17958,-1355.68208024,-3712.80911939,25499052.5274,3952.57200563,0.613044470642,-7820640.42868,100786840642
18218.9667538,-24243552.8363,7902931.3464,-1225.36776957,-3757.81734221,25499140.7304,3952.5583295,0.613040229534,-7820640.41225,100786840642
18443.8922693,-24504425.591,7052896.17404,-1093.56433307,-3798.25450695,25499219.9486,3952.54604655,0.613036420489,-7820640.39749,100786840642
18668.8177847,-24735493.8789,6194282.64062,-960.431968926,-3834.07155861,25499290.0855,3952.53517169,0.613033048126,-7820640.38443,100786840642
18893.7433002,-24936476.9024,5328135.13063,-826.13248177,-3865.22504845,25499351.0559,3952.52571815,0.613030116535,-7820640.37308,100786840642
19118.6688157,-25107130.4275,4455507.16769,-690.829087005,-3891.67718609,25499402.7857,3952.51769739,0.613027629271,-7820640.36344,100786840642
19343.5943312,-25247247.0794,3577460.13631,-554.686213438,-3913.39588489,25499445.2119,3952.51111918,0.613025589351,-7820640.35554,100786840642
19568.5198467,-25356656.5925,2695061.99432,-417.869304498,-3930.35480041,25499478.283,3952.50599149,0.613023999248,-7820640.34938,100786840642
19793.4453621,-25435226.0168,1809385.97732,-280.544618245,-3942.53336209,25499501.9587,3952.50232056,0.61302286089,-7820640.34497,100786840642
20018.3708776,-25482859.8783,921509.296802,-142.879026418,-3949.91679786,25499516.2103,3952.50011085,0.613022175657,-7820640.34232,100786840642
20243.2963931,-25499500.2942,32511.8335996,-5.03981275666,-3952.49615191,25499521.0204,3952.49936503,0.613021944381,-7820640.34142,100786840642
20468.2219086,-25485127.0432,-856525.171992,132.805529158,-3950.2682954,25499516.3833,3952.50008403,0.613022167341,-7820640.34229,100786840642
20693.1474241,-25439757.59,-1744520.43165,270.489498321,-3943.23593025,25499502.3044,3952.50226696,0.613022844268,-7820640.34491,100786840642
20918.0729395,-25363447.0636,-2630393.92053,407.844788721,-3931.40758586,25499478.801,3952.50591117,0.613023974341,-7820640.34929,100786840642
21142.998455,-25256288.1913,-3513068.18726,544.704491533,-3914.79760891,25499445.9016,3952.51101224,0.613025556189,-7820640.35541,100786840642
21367.9239705,-25118411.1865,-4391469.66089,680.902296836,-3893.42614616,25499403.6463,3952.51756396,0.613027587894,-7820640.36328,100786840642
21592.849486,-24949983.5911,-5264529.95307,816.272694634,-3867.31912023,25499352.0863,3952.52555839,0.613030066993,-7820640.37289,100786840642
21817.7750015,-24751210.0732,-6131187.15416,950.651174916,-3836.50819856,25499291.2845,3952.5349858,0.613032990479,-7820640.38421,100786840642
22042.7005169,-24522332.18,-6990387.12147,1083.87442655,-3801.03075537,25499221.3146,3952.54583475,0.613036354807,-7820640.39724,100786840642
22267.6260324,-24263628.045,-7841084.75817,1215.78053474,-3760.92982683,25499142.2619,3952.55809205,0.613040155897,-7820640.41196,100786840642
22492.5515479,-23975412.053,-8682245.28143,1346.20917685,-3716.25405943,25499054.2224,3952.57174281,0.613044389139,-7820640.42836,100786840642
22717.4770634,-23658034.4589,-9512845.4781,1475.00181636,-3667.05765154,25498957.3032,3952.58677045,0.613049049399,-7820640.44641,100786840642
22942.4025788,-23311880.9652,-10331874.9466,1602.00189463,-3613.40028838,25498851.6221,3952.60315672,0.613054131024,-7820640.4661,100786840642
23167.3280943,-22937372.255,-11138337.3231,1727.05502043,-3555.34707036,25498737.3078,3952.62088169,0.613059627851,-7820640.48739,100786840642
23392.2536098,-22534963.4838,-11931251.4916,1850.00915684,-3492.96843488,25498614.499,3952.63992383,0.613065533211,-7820640.51027,100786840642
23617.1791253,-22105143.7286,-12709652.7746,1970.71480537,-3426.3400717,25498483.3453,3952.66026001,0.613071839941,-7820640.5347,100786840642
23842.1046408,-21648435.3969,-13472594.1052,2089.02518705,-3355.54283206,25498344.0062,3952.68186551,0.613078540388,-7820640.56066,100786840642
24067.0301562,-21165393.5945,-14219147.1771,2204.79642035,-3280.66263146,25498196.651,3952.70471407,0.613085626424,-7820640.58811,100786840642
24291.9556717,-20656605.4541,-14948403.5722,2317.88769564,-3201.79034641,25498041.459,3952.72877794,0.613093089449,-7820640.61702,100786840642
24516.8811872,-20122689.4249,-15659475.8653,2428.16144594,-3119.02170514,25497878.619,3952.75402785,0.613100920406,-7820640.64736,100786840642
24741.8067027,-19564294.5243,-16351498.7019,2535.48351396,-3032.45717248,25497708.329,3952.78043313,0.613109109792,-7820640.67909,100786840642
24966.7322182,-18982099.5522,-17023629.8507,2639.72331491,-2942.201829,25497530.7962,3952.80796167,0.613117647667,-7820640.71217,100786840642
25191.6577336,-18376812.2697,-17675051.2279,2740.75399521,-2848.3652445,25497346.2365,3952.83658001,0.613126523667,-7820640.74656,100786840642
25416.5832491,-17749168.5419,-18304969.8925,2838.45258669,-2751.06134613,25497154.8744,3952.86625337,0.613135727015,-7820640.78223,100786840642
25641.5087646,-17099931.4472,-18912619.0107,2932.70015618,-2650.40828119,25496956.9428,3952.89694567,0.613145246537,-7820640.81911,100786840642
25866.4342801,-16429890.3531,-19497258.7902,3023.38195027,-2546.52827479,25496752.6824,3952.92861958,0.613155070674,-7820640.85719,100786840642
26091.3597956,-15739859.9599,-20058177.3805,3110.38753512,-2439.54748252,25496542.3417,3952.96123661,0.613165187495,-7820640.89639,100786840642
26316.285311,-15030679.3138,-20594691.7403,3193.6109311,-2329.59583839,25496326.1767,3952.99475708,0.613175584712,-7820640.93669,100786840642
26541.2108265,-14303210.7901,-21106148.4701,3272.9507421,-2216.80689806,25496104.4504,3953.02914023,0.613186249694,-7820640.97802,100786840642
26766.136342,-13558339.0482,-21591924.6088,3348.31027938,-2101.31767774,25495877.4326,3953.06434425,0.613197169486,-7820641.02034,100786840642
26991.0618575,-12796969.9589,-22051428.3938,3419.59767974,-1983.26848879,25495645.3995,3953.10032632,0.613208330818,-7820641.06361,100786840642
27215.9873729,-12020029.5065,-22484099.9832,3486.72601802,-1862.80276824,25495408.6335,3953.13704266,0.613219720128,-7820641.10775,100786840642
27440.9128884,-11228462.6651,-22889412.1396,3549.61341354,-1740.06690551,25495167.4228,3953.17444862,0.613231323572,-7820641.15273,100786840642
27665.8384039,-10423232.2529,-23266870.8745,3608.18313062,-1615.21006551,25494922.0609,3953.2124987,0.613243127046,-7820641.19849,100786840642
27890.7639194,-9605317.76386,-23616016.0527,3662.36367284,-1488.38400819,25494672.8465,3953.25114658,0.6132551162,-7820641.24497,100786840642
28115.6894349,-8775714.17892,-23936421.9551,3712.08887099,-1359.742905,25494420.0829,3953.29034525,0.613267276455,-7820641.29211,100786840642
28340.6149503,-7935430.75824,-24227697.8004,3757.29796475,-1229.44315227,25494164.0778,3953.330047,0.613279593025,-7820641.33987,100786840642
28565.5404658,-7085489.81586,-24489488.2246,3797.93567765,-1097.64318181,25493905.1429,3953.37020353,0.613292050927,-7820641.38817,100786840642
28790.4659813,-6226925.47814,-24721473.7174,3833.95228562,-964.503268983,25493643.5934,3953.41076595,0.613304635009,-7820641.43696,100786840642
29015.3914968,-5360782.42753,-24923371.0146,3865.3036787,-830.185338425,25493379.7478,3953.45168488,0.613317329959,-7820641.48619,100786840642
29240.3170123,-4488114.63331,-25094933.4477,3891.95141604,-694.852767678,25493113.9273,3953.49291052,0.613330120329,-7820641.53579,100786840642
29465.2425277,-3609984.07059,-25235951.2485,3913.86277405,-558.670188961,25492846.4555,3953.53439268,0.613342990554,-7820641.5857,100786840642
29690.1680432,-2727459.42938,-25346251.8082,3931.01078759,-421.803289325,25492577.6583,3953.57608085,0.613355924968,-7820641.63587,100786840642
29915.0935587,-1841614.81508,-25425699.893,3943.37428425,-284.418609416,25492307.8629,3953.61792426,0.613368907823,-7820641.68622,100786840642
30140.0190742,-953528.442155,-25474197.8129,3950.93791151,-146.683341108,25492037.398,3953.65987196,0.613381923312,-7820641.73671,100786840642
30364.9445896,-64281.3223413,-25491685.5452,3953.69215697,-8.7651242378,25491766.5929,3953.70187286,0.613394955584,-7820641.78726,100786840642
30589.8701051,825044.050747,-25478140.813,3951.63336136,129.168157311,25491495.7775,3953.7438758,0.613407988767,-7820641.83782,100786840642
30814.7956206,1713365.01923,-25433579.1165,3944.76372451,266.94857992,25491225.2818,3953.78582962,0.613421006983,-7820641.88832,100786840642
31039.7211361,2599600.0791,-25358053.7192,3933.09130415,404.408384705,25490955.4351,3953.8276832,0.613433994372,-7820641.93871,100786840642
31264.6466516,3482670.19726,-25251655.5877,3916.63000763,541.380181884,25490686.5664,3953.86938555,0.613446935107,-7820641.98891,100786840642
31489.572167,4361500.12591,-25114513.2862,3895.39957638,677.697154803,25490419.003,3953.91088585,0.613459813416,-7820642.03888,100786840642
31714.4976825,5235019.71268,-24946792.824,3869.42556341,813.193263366,25490153.0712,3953.95213354,0.613472613602,-7820642.08855,100786840642
31939.423198,6102165.20482,-24748697.4583,3838.73930358,947.703446615,25489889.0949,3953.99307834,0.613485320058,-7820642.13785,100786840642
32164.3487135,6961880.54597,-24520467.4515,3803.37787686,1081.06382422,25489627.3958,3954.03367035,0.613497917292,-7820642.18674,100786840642
32389.274229,7813118.66385,-24262379.7824,3763.38406453,1213.11189665,25489368.2927,3954.07386008,0.613510389941,-7820642.23514,100786840642
32614.1997444,8654842.7473,-23974747.8141,3718.80629841,1343.68674368,25489112.1016,3954.11359855,0.613522722791,-7820642.28301,100786840642
32839.1252599,9486027.51112,-23657920.9155,3669.69860311,1472.62922117,25488859.1347,3954.1528373,0.613534900798,-7820642.33027,100786840642
