time_s,x_m,y_m,vx_m_s,vy_m_s,radius_m,speed_m_s,acceleration_m_s2,specific_energy_J_kg,angular_momentum_m2_s
4048.65927862,21000234.0983,21482661.8443,-1990.89202254,4778.40642885,30041880.6352,5176.56440554,0.441657728405,130180.763974,143117313712
4273.5847941,20544622.0566,22549458.3396,-2058.0566942,4707.27812655,30505074.4444,5137.51542258,0.428347156696,130270.455537,143117313712
4498.51030958,20074415.1727,23600235.7625,-2120.75676869,4636.0978975,30983112.6999,5098.13818831,0.415231195089,130351.579616,143117313712
4723.43582506,19590597.4378,24635011.7584,-2179.17745288,4565.11098348,31474995.0327,5058.56231183,0.402354373475,130424.424831,143117313712
4948.36134054,19094109.9488,25653855.6449,-2233.51291264,4494.5324029,31979764.6049,5018.9044075,0.389753067064,130489.387065,143117313712
5173.28685601,18585849.3514,26656881.7935,-2283.96249519,4424.54869303,32496509.7059,4979.26860256,0.377456258622,130546.936334,143117313712
5398.21237149,18066667.0657,27644243.436,-2330.72753165,4355.31989147,33024364.5512,4939.74717812,0.365486320995,130597.588863,143117313712
5623.13788697,17537369.1684,28616126.9368,-2374.00868366,4286.98165323,33562509.4147,4900.42130079,0.353859791341,130641.88425,143117313712
5848.06340245,16998716.8119,29572746.5524,-2414.00378722,4219.64741984,34110170.2121,4861.36180843,0.342588115983,130680.367362,143117313712
6072.98891793,16451427.076,30514339.6789,-2450.90614144,4153.41057497,34666617.644,4822.63002089,0.331678351283,130713.574457,143117313712
6297.91443341,15896174.1574,31441162.5815,-2484.90318796,4088.34653774,35231165.9943,4784.27855232,0.321133811239,130742.022946,143117313712
6522.83994889,15333590.815,32353486.5839,-2516.17552777,4024.51475819,35803171.667,4746.35210719,0.310954656813,130766.204214,143117313712
6747.76546437,14764270.0021,33251594.6946,-2544.89622467,3961.96059139,36382031.5325,4708.88824693,0.301138425222,130786.57895,143117313712
6972.69097985,14188766.6247,34135778.6405,-2571.23034887,3900.71703573,36967181.1439,4671.91811784,0.291680499886,130803.574457,143117313712
7197.61649532,13607599.3788,35006336.2746,-2595.33471853,3840.80632847,37558092.8726,4635.46713439,0.282574523405,130817.583516,143117313712
7422.5420108,13021252.6259,35863569.3271,-2617.35780211,3782.24139696,38154274.0047,4599.55561431,0.273812757095,130828.964414,143117313712
7647.46752628,12430178.2732,36707781.4664,-2637.43974894,3725.02716848,38755264.8305,4564.1993641,0.265386391262,130838.041823,143117313712
7872.39304176,11834797.6357,37539276.6392,-2655.71252041,3669.16174407,39360636.7539,4529.41021494,0.257285810762,130845.108276,143117313712
8097.31855724,11235503.258,38358357.6597,-2672.30009793,3614.63744426,39969990.4404,4495.19651037,0.249500820428,130850.426025,143117313712
8322.24407272,10632660.6816,39165325.02,-2687.31874812,3561.44173534,40582954.0213,4461.56354748,0.2420208349,130854.229147,143117313712
8547.1695882,10026610.1486,39960475.896,-2700.87732875,3509.55804568,41199181.3621,4428.51397434,0.234835037126,130856.725742,143117313712
8772.09510368,9417668.23081,40744103.3251,-2713.07762212,3458.96648181,41818350.4059,4396.04814645,0.227932509539,130858.100169,143117313712
8997.02061916,8806129.38322,41516495.5339,-2724.01468494,3409.64445368,42440161.5941,4364.16444515,0.221302341559,130858.51523,143117313712
9221.94613463,8192267.41645,42277935.3977,-2733.77720633,3361.56721829,43064336.3692,4332.85956118,0.214933716727,130858.114265,143117313712
9446.87165011,7576336.88855,43028700.0127,-2742.44786682,3314.70835037,43690615.7593,4302.12874636,0.208815982412,130857.023138,143117313712
9671.79716559,6958574.41621,43769060.3665,-2750.1036934,3269.04014823,44318759.0448,4271.96603629,0.202938704724,130855.352079,143117313712
9896.72268107,6339199.90683,44499281.0936,-2756.81640642,3224.53398207,44948542.5048,4242.36444689,0.197291710889,130853.197392,143117313712
10121.6481965,5718417.71362,45219620.3027,-2762.65275555,3181.16059173,45579758.2427,4213.31614742,0.191865121124,130850.64301,143117313712
10346.573712,5096417.71657,45930329.4654,-2767.67484258,3138.89033988,46212213.0864,4184.8126123,0.186649371714,130847.761909,143117313712
10571.4992275,4473376.33233,46631653.3581,-2771.94042984,3097.69342623,46845727.561,4156.84475408,0.181635230796,130844.61739,143117313712
10796.424743,3849457.45645,47323830.0468,-2775.50323313,3057.54006784,47480134.9304,4129.40303961,0.17681380813,130841.264226,143117313712
11021.3502585,3224813.34148,48007090.9098,-2778.41319894,3018.40064966,48115280.3038,4102.47759115,0.17217655994,130837.749684,143117313712
11246.2757739,2599585.41448,48681660.6909,-2780.71676579,2980.24584948,48751019.8042,4076.05827423,0.167715289769,130834.114452,143117313712
11471.2012894,1973905.03759,49347757.5777,-2782.45710979,2943.04674065,49387219.7947,4050.13477374,0.163422146111,130830.393441,143117313712
11696.1268049,1347894.21505,50005593.3014,-2783.67437485,2906.77487554,50023756.1588,4024.69665966,0.159289617504,130826.616514,143117313712
11921.0523204,721666.250208,50655373.2523,-2784.40588801,2871.4023525,50660513.6324,3999.73344351,0.15531052562,130822.809124,143117313712
12145.9778359,95326.3557202,51297296.6099,-2784.6863604,2836.90186868,51297385.1829,3975.23462683,0.151478016834,130818.992874,143117313712
12370.9033513,-531027.77991,51931556.4826,-2784.54807461,2803.24676064,51934271.4324,3951.18974246,0.147785552637,130815.186015,143117313712
12595.8288668,-1157305.4664,52558340.0552,-2784.02105912,2770.41103466,52571080.123,3927.58838966,0.144226899232,130811.403881,143117313712
12820.7543823,-1783422.52356,53177828.7427,-2783.13325037,2738.36938821,53207725.6203,3904.4202637,0.140796116564,130807.659276,143117313712
13045.6798978,-2409300.82837,53790198.3477,-2781.91064344,2707.09722404,53844128.4521,3881.6751807,0.137487547004,130803.962805,143117313712
13270.6054133,-3034867.89455,54395619.2199,-2780.37743181,2676.57065784,54480214.8807,3859.34309822,0.134295803857,130800.323172,143117313712
13495.5309287,-3660056.48252,54994256.4175,-2778.55613709,2646.76652081,55115916.5067,3837.41413228,0.131215759843,130796.747437,143117313712
