time_s,x_m,y_m,vx_m_s,vy_m_s,radius_m,speed_m_s,acceleration_m_s2,specific_energy_J_kg,angular_momentum_m2_s
5398.21237149,16527007.6895,14915141.0929,-3311.25055782,1890.34239209,22262152.1194,3812.8433768,0.804277232432,-10636054.7866,80629472513.6
5623.13788697,15767119.3566,15326696.7777,-3444.88023577,1765.11873063,21988853.6973,3870.76787886,0.824394123596,-10636059.7867,80629472513.6
5848.06340245,14977324.7639,15709181.5736,-3577.02277352,1631.62464971,21704806.9053,3931.57613684,0.846112699952,-10636067.3127,80629472513.6
6072.98891793,14157991.9742,16060684.8085,-3707.35327108,1489.3948373,21410145.5684,3995.34294623,0.869562548397,-10636078.113,80629472513.6
6297.91443341,13309568.0728,16379187.3767,-3835.48957792,1337.92997174,21105032.1346,4062.14683531,0.894886654198,-10636093.1379,80629472513.6
6522.83994889,12432593.0333,16662553.9856,-3960.98276356,1176.69607139,20789662.6922,4132.06946912,0.922242603279,-10636113.5938,80629472513.6
6747.76546437,11527715.893,16908525.3175,-4083.30599311,1005.12450667,20464272.8217,4205.19477638,0.951803796569,-10636141.0121,80629472513.6
6972.69097985,10595713.6226,17114710.2812,-4201.84156622,822.612970737,20129144.4225,4281.60771758,0.98376062315,-10636177.337,80629472513.6
7197.61649532,9637513.13253,17278578.6105,-4315.86586058,628.527804422,19784613.6727,4361.39259039,1.01832151147,-10636225.0352,80629472513.6
7422.5420108,8654216.91577,17397454.162,-4424.53191408,422.208200417,19431080.3031,4444.63074093,1.0557137394,-10636287.2357,80629472513.6
7647.46752628,7647132.88947,17468509.4047,-4526.84939217,202.972977613,19069018.3872,4531.39751611,1.09618383092,-10636367.9031,80629472513.6
7872.39304176,6617809.04971,17488761.7653,-4621.6617323,-29.869172822,18698988.8684,4621.7582515,1.13999729457,-10636472.0536,80629472513.6
8097.31855724,5568073.59446,17455072.7265,-4707.62035432,-277.004804952,18321654.0586,4715.76304138,1.18743736133,-10636606.0193,80629472513.6
8322.24407272,4500081.17996,17364150.8682,-4783.15600451,-539.094713584,17937794.346,4813.43998339,1.23880225047,-10636777.7674,80629472513.6
8547.1695882,3416365.9346,17212560.4138,-4846.44760042,-816.744943157,17548327.3334,4914.78653105,1.29440032466,-10636997.2747,80629472513.6
