case_id,iteration,lo_rad,hi_rad,mid_rad,ratio_mid,target_ratio,residual,bracket_width_rad
before-bottom,1,1e-12,6.283185307079586,3.141592653540293,1.570796326745397,1,0.5707963267453966,6.283185307078586
before-bottom,2,1e-12,3.141592653540293,1.570796326770647,0.5707963267844884,1,-0.4292036732155116,3.141592653539293
before-bottom,3,1.570796326770647,3.141592653540293,2.35619449015547,0.9660132143707001,1,-0.03398678562929991,1.570796326769647
before-bottom,4,2.35619449015547,3.141592653540293,2.748893571847882,1.229915958601913,1,0.2299159586019126,0.7853981633848233
before-bottom,5,2.35619449015547,2.748893571847882,2.552544031001676,1.090366875081493,1,0.09036687508149255,0.3926990816924119
before-bottom,6,2.35619449015547,2.552544031001676,2.454369260578573,1.026489140522793,1,0.02648914052279272,0.1963495408462061
before-bottom,7,2.35619449015547,2.454369260578573,2.405281875367021,0.9958481288001687,1,-0.004151871199831292,0.09817477042310285
before-bottom,8,2.405281875367021,2.454369260578573,2.429825567972797,1.01106520636264,1,0.01106520636264019,0.04908738521155165
before-bottom,9,2.405281875367021,2.429825567972797,2.417553721669909,1.003431150121781,1,0.003431150121780968,0.02454369260577582
before-bottom,10,2.405281875367021,2.417553721669909,2.411417798518465,0.9996333019829291,1,-0.0003666980170708989,0.01227184630288791
before-bottom,11,2.411417798518465,2.417553721669909,2.414485760094187,1.001530636471896,1,0.001530636471895885,0.006135923151444178
before-bottom,12,2.411417798518465,2.414485760094187,2.412951779306326,1.000581572485215,1,0.000581572485214954,0.003067961575721867
before-bottom,13,2.411417798518465,2.412951779306326,2.412184788912395,1.000107338130001,1,0.0001073381300014109,0.001533980787860934
before-bottom,14,2.411417798518465,2.412184788912395,2.41180129371543,0.9998702952906241,1,-0.0001297047093758996,0.0007669903939304668
before-bottom,15,2.41180129371543,2.412184788912395,2.411993041313913,0.9999888105175809,1,-1.118948241907169e-05,0.0003834951969650113
before-bottom,16,2.411993041313913,2.412184788912395,2.412088915113154,1.000048072775449,1,4.807277544904842e-05,0.0001917475984822836
