theta_rad,x_m,y_m,time_s,speed_m_s
0,0,0,0,0
0.01308996939,1.86909306516e-07,4.28362129965e-05,0.00295521531967,0.0289904553085
0.0261799387799,1.4952360209e-06,0.000171337512221,0.00591043063935,0.0579796687623
0.0392699081699,5.0462054019e-06,0.000385481879639,0.00886564595902,0.0869663985601
0.0523598775598,1.1960658443e-05,0.000685232622713,0.0118208612787,0.115949403007
0.0654498469498,2.33588598221e-05,0.0010705383807,0.0147760765984,0.144927440567
0.0785398163397,4.03603059499e-05,0.00154133313344,0.017731291918,0.173899269918
0.0916297857297,6.408353315e-05,0.00209753621267,0.0206865072377,0.202863650003
0.10471975512,9.56459260031e-05,0.00273905231586,0.0236417225574,0.231819340085
0.11780972451,0.00013616352589,0.00346577152254,0.0265969378771,0.260765099797
0.1308996939,0.000186750839762,0.00427756931309,0.0295521531967,0.289699689201
0.14398966329,0.000248520649176,0.00517430659016,0.0325073685164,0.318621868834
0.157079632679,0.000322583819629,0.00615582970243,0.0354625838361,0.347530399766
0.170169602069,0.000410049110211,0.00722197047096,0.0384177991557,0.376424043653
0.183259571459,0.000512022983629,0.00837254621802,0.0413730144754,0.405301562787
0.196349540849,0.000629609416617,0.00960735979838,0.0443282297951,0.434161720151
0.209439510239,0.00076390971078,0.0109261996331,0.0472834451148,0.463003279471
0.222529479629,0.000916022303888,0.0123288397457,0.0502386604344,0.491825005273
0.235619449019,0.00108704258166,0.0138150398012,0.0531938757541,0.520625662928
0.248709418409,0.0012780626901,0.0153845451466,0.0561490910738,0.549404018712
0.261799387799,0.00149017134831,0.0170370868555,0.0591043063935,0.578158839857
0.274889357189,0.00172445366202,0.0187723817732,0.0620595217131,0.606888894601
0.287979326579,0.00198199093757,0.0205901325659,0.0650147370328,0.635592952245
0.301069295969,0.00226386049673,0.0224900277714,0.0679699523525,0.664269783202
0.314159265359,0.00257113549202,0.0244717418524,0.0709251676721,0.692918159052
0.327249234749,0.00290488472289,0.0265349352524,0.0738803829918,0.721536852595
0.340339204139,0.00326617245256,0.0286792544539,0.0768355983115,0.750124637901
