theta_rad,x_m,y_m,time_s,speed_m_s
0,0,0,0,0
0.010050046433,9.69264928702e-08,2.89330503655e-05,0.00242873109648,0.023825751786
0.0201000928659,7.75400195156e-07,0.000115729279149,0.00485746219296,0.0476509019527
0.0301501392989,2.6169095785e-06,0.000260379919707,0.00728619328943,0.0714748488956
0.0402001857319,6.20282564494e-06,0.000462870361952,0.00971492438591,0.0952969910411
0.0502502321649,1.21143432069e-05,0.000723180153825,0.0121436554824,0.119116726861
0.0603002785978,2.09324221852e-05,0.00104128300337,0.0145723865789,0.142933454887
0.0703503250308,3.32377289301e-05,0.00141714678136,0.0170011176753,0.166746573729
0.0804003714638,4.96105775733e-05,0.00185073352461,0.0194298487718,0.190555482085
0.0904504178968,7.06308714139e-05,0.00234199943972,0.0218585798683,0.214359578762
0.10050046433,9.68780443472e-05,0.00289089490756,0.0242873109648,0.238158262688
0.110550510763,0.00012893100234,0.00349736448828,0.0267160420613,0.261950932925
0.120600557196,0.000167368064961,0.00416134692689,0.0291447731577,0.28573698869
0.130650603629,0.000212766906965,0.00488277515944,0.0315735042542,0.309515829366
0.140700650062,0.000265704499952,0.00566157631981,0.0340022353507,0.333286854518
0.150750696495,0.000326757054088,0.00649767174709,0.0364309664472,0.357049463909
0.160800742928,0.000396499959906,0.00739097699346,0.0388596975436,0.380803057514
0.170850789361,0.000475507730191,0.00834140183279,0.0412884286401,0.404547035534
0.180900835794,0.000564353941955,0.00934885026973,0.0437171597366,0.428280798416
0.190950882226,0.000663611178499,0.0104132205494,0.0461458908331,0.452003746863
0.201000928659,0.000773850971585,0.0115344051676,0.0485746219296,0.475715281852
0.211050975092,0.000895643743709,0.0127122908818,0.051003353026,0.499414804647
0.221101021525,0.00102955875048,0.0139467587225,0.0534320841225,0.523101716815
0.231151067958,0.00117616402315,0.0152376840053,0.055860815219,0.546775420245
0.241201114391,0.0013360263112,0.0165849363434,0.0582895463155,0.570435317154
0.251251160824,0.00150971102511,0.0179883796608,0.060718277412,0.594080810113
0.261301207257,0.0016977821793,0.0194478722061,0.0631470085084,0.617711302052
0.27135125369,0.00190080233508,0.0209632665668,0.0655757396049,0.641326196284
0.281401300123,0.00211933254389,0.0225344096842,0.0680044707014,0.664924896513
0.291451346556,0.00235393229062,0.0241611428687,0.0704332017979,0.688506806853
0.301501392989,0.00260515943709,0.0258433018161,0.0728619328943,0.712071331842
0.311551439422,0.0028735701657,0.027580716624,0.0752906639908,0.735617876457
0.321601485855,0.00315971892328,0.029373211809,0.0777193950873,0.759145846127
0.331651532288,0.00346415836506,0.0312206063244,0.0801481261838,0.782654646754
0.341701578721,0.00378743929887,0.0331227135788,0.0825768572803,0.806143684721
0.351751625154,0.0041301106295,0.0350793414542,0.0850055883767,0.82961236691
0.361801671587,0.00449271930326,0.0370902923262,0.0874343194732,0.85306010072
0.37185171802,0.00487581025275,0.0391553630836,0.0898630505697,0.876486294075
0.381901764453,0.00527992634177,0.041274345149,0.0922917816662,0.899890355445
0.391951810886,0.00570560831056,0.0434470244996,0.0947205127626,0.923271693859
0.402001857319,0.00615339472115,0.0456731816892,0.0971492438591,0.94662971892
0.412051903752,0.00662382190294,0.0479525918702,0.0995779749556,0.969963840817
0.422101950185,0.00711742389859,0.0502850248163,0.102006706052,0.993273470347
0.432151996618,0.00763473241,0.0526702449457,0.104435437149,1.01655801892
0.442202043051,0.00817627674468,0.0551080113451,0.106864168245,1.03981689859
0.452252089484,0.00874258376225,0.0575980777937,0.109292899342,1.06304952204
0.462302135917,0.00933417782125,0.0601401927884,0.111721630438,1.08625530264
0.47235218235,0.00995158072614,0.062734099569,0.114150361534,1.10943365441
0.482402228783,0.0105953116746,0.0653795361442,0.116579092631,1.13258399209
0.492452275216,0.0112658872053,0.0680762353181,0.119007823727,1.15570573112
0.502502321649,0.0119638211451,0.0708239247171,0.121436554824,1.17879828764
0.512552368082,0.0126896245581,0.0736223268175,0.12386528592,1.20186107856
0.522602414515,0.0134438056932,0.0764711589735,0.126294017017,1.22489352152
0.532652460948,0.0142268699331,0.0793701334456,0.128722748113,1.24789503493
0.542702507381,0.0150393197434,0.0823189574299,0.13115147921,1.27086503799
0.552752553814,0.0158816546215,0.0853173330876,0.133580210306,1.29380295068
0.562802600246,0.0167543710465,0.088364957575,0.136008941403,1.3167081938
0.572852646679,0.0176579624286,0.0914615230742,0.138437672499,1.33958018898
0.582902693112,0.0185929190599,0.0946067168239,0.140866403596,1.36241835869
0.592952739545,0.0195597280642,0.0978002211517,0.143295134692,1.38522212623
0.603002785978,0.0205588733485,0.101041713505,0.145723865789,1.4079909158
0.613052832411,0.0215908355534,0.104330866485,0.148152596885,1.43072415246
0.623102878844,0.0226560920051,0.107667347879,0.150581327982,1.45342126219
0.633152925277,0.0237551166669,0.111050820694,0.153010059078,1.47608167186
0.64320297171,0.0248883800915,0.114480943189,0.155438790175,1.49870480928
0.653253018143,0.0260563493734,0.117957368914,0.157867521271,1.5212901032
0.663303064576,0.0272594881017,0.121479746741,0.160296252368,1.54383698332
0.673353111009,0.0284982563132,0.1250477209,0.162724983464,1.56634488031
0.683403157442,0.0297731104461,0.128660931017,0.165153714561,1.58881322583
0.693453203875,0.031084503294,0.132319012149,0.167582445657,1.61124145253
0.703503250308,0.0324328839596,0.136021594819,0.170011176753,1.6336289941
0.713553296741,0.0338186978101,0.139768305058,0.17243990785,1.65597528521
0.723603343174,0.0352423864318,0.143558764437,0.174868638946,1.67827976162
0.733653389607,0.0367043875853,0.147392590111,0.177297370043,1.70054186011
0.74370343604,0.0382051351618,0.151269394854,0.179726101139,1.72276101855
0.753753482473,0.0397450591389,0.155188787098,0.182154832236,1.74493667589
0.763803528906,0.0413245855373,0.159150370974,0.184583563332,1.76706827217
0.773853575339,0.0429441363778,0.163153746352,0.187012294429,1.78915524855
0.783903621772,0.0446041296385,0.167198508881,0.189441025525,1.81119704733
0.793953668205,0.0463049792128,0.171284250029,0.191869756622,1.83319311192
0.804003714638,0.0480470948675,0.175410557127,0.194298487718,1.8551428869
0.814053761071,0.0498308822015,0.179577013406,0.196727218815,1.87704581804
0.824103807504,0.0516567426047,0.183783198043,0.199155949911,1.89890135226
0.834153853937,0.0535250732173,0.188028686203,0.201584681008,1.92070893769
0.84420390037,0.0554362668901,0.192313049081,0.204013412104,1.94246802367
0.854253946803,0.0573907121448,0.196635853945,0.206442143201,1.96417806077
0.864303993236,0.0593887931342,0.200996664181,0.208870874297,1.98583850079
0.874354039669,0.0614308896041,0.205395039335,0.211299605394,2.00744879679
0.884404086102,0.0635173768543,0.20983053516,0.21372833649,2.0290084031
0.894454132535,0.0656486257013,0.21430270366,0.216157067587,2.0505167753
0.904504178968,0.0678250024405,0.218811093134,0.218585798683,2.07197337031
0.914554225401,0.0700468688092,0.223355248223,0.22101452978,2.09337764632
0.924604271834,0.0723145819501,0.227934709956,0.223443260876,2.11472906287
0.934654318266,0.0746284943754,0.232549015795,0.225871991972,2.13602708079
0.944704364699,0.0769889539308,0.237197699683,0.228300723069,2.15727116232
0.954754411132,0.079396303761,0.241880292092,0.230729454165,2.17846077101
0.964804457565,0.0818508822744,0.246596320067,0.233158185262,2.19959537181
0.974854503998,0.0843530231091,0.251345307277,0.235586916358,2.22067443106
0.984904550431,0.0869030550995,0.256126774063,0.238015647455,2.2416974165
0.994954596864,0.0895013022428,0.260940237484,0.240444378551,2.26266379726
1.0050046433,0.0921480836663,0.265785211368,0.242873109648,2.28357304395
1.01505468973,0.0948437135952,0.270661206359,0.245301840744,2.30442462857
1.02510473616,0.097588501321,0.27556772997,0.247730571841,2.32521802462
1.0351547826,0.10038275117,0.28050428663,0.250159302937,2.34595270704
1.04520482903,0.103226762473,0.285470377732,0.252588034034,2.36662815227
1.05525487546,0.106120829534,0.29046550169,0.25501676513,2.38724383823
1.0653049219,0.109065241602,0.295489153982,0.257445496227,2.40779924436
1.07535496833,0.112060282841,0.300540827207,0.259874227323,2.42829385162
1.08540501476,0.1151062323,0.305620011134,0.26230295842,2.4487271425
1.09545506119,0.118203363889,0.31072619275,0.264731689516,2.46909860106
1.10550510763,0.121351946346,0.315858856319,0.267160420613,2.48940771289
1.11555515406,0.124552243212,0.321017483428,0.269589151709,2.50965396516
1.12560520049,0.127804512807,0.326201553043,0.272017882806,2.52983684666
1.13565524693,0.1311090082,0.331410541559,0.274446613902,2.54995584773
1.14570529336,0.134465977186,0.336643922855,0.276875344999,2.57001046037
1.15575533979,0.137875662258,0.341901168346,0.279304076095,2.59000017817
1.16580538622,0.141338300587,0.347181747036,0.281732807191,2.60992449639
1.17585543266,0.144854123995,0.352485125574,0.284161538288,2.62978291191
1.18590547909,0.148423358931,0.357810768305,0.286590269384,2.64957492329
1.19595552552,0.15204622645,0.363158137324,0.289019000481,2.66930003078
1.20600557196,0.15572294219,0.368526692534,0.291447731577,2.68895773628
1.21605561839,0.159453716351,0.373915891697,0.293876462674,2.70854754344
1.22610566482,0.163238753672,0.37932519049,0.29630519377,2.7280689576
1.23615571126,0.167078253411,0.384754042559,0.298733924867,2.74752148581
1.24620575769,0.170972409325,0.390201899577,0.301162655963,2.7669046369
1.25625580412,0.174921409652,0.395668211296,0.30359138706,2.78621792142
1.26630585055,0.17892543709,0.401152425604,0.306020118156,2.80546085169
1.27635589699,0.182984668779,0.406653988581,0.308448849253,2.82463294181
1.28640594342,0.187099276282,0.412172344556,0.310877580349,2.84373370768
1.29645598985,0.191269425571,0.41770693616,0.313306311446,2.86276266698
1.30650603629,0.195495277007,0.423257204386,0.315735042542,2.88171933922
1.31655608272,0.199776985324,0.428822588641,0.318163773639,2.90060324573
1.32660612915,0.204114699617,0.434402526808,0.320592504735,2.91941390967
1.33665617559,0.208508563322,0.439996455298,0.323021235832,2.93815085606
1.34670622202,0.212958714205,0.44560380911,0.325449966928,2.95681361177
1.35675626845,0.217465284345,0.451224021887,0.327878698025,2.97540170556
1.36680631488,0.222028400124,0.456856525973,0.330307429121,2.99391466806
1.37685636132,0.226648182214,0.462500752471,0.332736160217,3.0123520318
1.38690640775,0.23132474556,0.468156131299,0.335164891314,3.03071333123
1.39695645418,0.236058199376,0.473822091248,0.33759362241,3.0489981027
1.40700650062,0.240848647126,0.479498060044,0.340022353507,3.06720588452
1.41705654705,0.245696186521,0.485183464397,0.342451084603,3.08533621693
1.42710659348,0.250600909503,0.490877730068,0.3448798157,3.1033886421
1.43715663992,0.25556290224,0.496580281921,0.347308546796,3.12136270422
1.44720668635,0.260582245114,0.502290543983,0.349737277893,3.13925794941
1.45725673278,0.265659012717,0.508007939504,0.352166008989,3.15707392582
1.46730677921,0.270793273838,0.513731891011,0.354594740086,3.17481018356
1.47735682565,0.27598509146,0.519461820371,0.357023471182,3.19246627479
1.48740687208,0.281234522755,0.525197148846,0.359452202279,3.21004175368
1.49745691851,0.286541619072,0.530937297153,0.361880933375,3.22753617643
1.50750696495,0.291906425938,0.536681685522,0.364309664472,3.24494910129
1.51755701138,0.297328983051,0.542429733755,0.366738395568,3.26228008857
1.52760705781,0.302809324275,0.548180861285,0.369167126665,3.27952870065
1.53765710424,0.30834747764,0.553934487232,0.371595857761,3.296694502
1.54770715068,0.313943465333,0.559690030467,0.374024588858,3.31377705915
1.55775719711,0.319597303704,0.565446909663,0.376453319954,3.33077594076
1.56780724354,0.325309003256,0.571204543361,0.378882051051,3.3476907176
1.57785728998,0.33107856865,0.576962350025,0.381310782147,3.36452096256
1.58790733641,0.336905998703,0.582719748103,0.383739513244,3.38126625065
1.59795738284,0.342791286385,0.588476156081,0.38616824434,3.39792615904
1.60800742928,0.348734418825,0.594230992548,0.388596975436,3.41450026707
1.61805747571,0.354735377307,0.599983676251,0.391025706533,3.43098815621
1.62810752214,0.360794137277,0.605733626153,0.393454437629,3.44738941014
1.63815756857,0.366910668341,0.611480261495,0.395883168726,3.46370361471
1.64820761501,0.373084934271,0.617223001852,0.398311899822,3.47993035797
1.65825766144,0.379316893006,0.622961267192,0.400740630919,3.49606923019
1.66830770787,0.38560649666,0.628694477936,0.403169362015,3.51211982385
1.67835775431,0.391953691524,0.634422055014,0.405598093112,3.52808173366
1.68840780074,0.398358418071,0.640143419926,0.408026824208,3.54395455656
