time_s,displacement_m,velocity_m_s,energy_J
0,1,0,2
0.02,0.999241113289,-0.0739084013378,1.99969683087
0.04,0.99711718954,-0.136779722892,1.99783972565
0.06,0.993833197893,-0.190152918694,1.99348791671
0.08,0.989565516528,-0.235353440563,1.986175444
0.1,0.984465899273,-0.273522846228,1.97575358737
0.12,0.978664892112,-0.305644301573,1.96227916165
0.14,0.972274775904,-0.332564546382,1.94593606847
0.16,0.965392101006,-0.355012813986,1.92698086642
0.18,0.958099870386,-0.373617127256,1.90570560216
0.2,0.95046941998,-0.38891833475,1.88241297219
0.22,0.942562038275,-0.4013822004,1.85740022739
0.24,0.934430361281,-0.411409816679,1.8309492188
0.26,0.926119574036,-0.419346573709,1.80332070527
0.28,0.917668445481,-0.425489884593,1.77475157261
0.3,0.909110219804,-0.430095839427,1.74545399905
0.32,0.900473384161,-0.433384936567,1.71561588279
0.34,0.89178232992,-0.435547019118,1.68540205085
0.36,0.883057922189,-0.436745526838,1.65495591549
0.38,0.874317990347,-0.437121158419,1.62440135006
0.4,0.86557775054,-0.436795025889,1.59384463178
0.42,0.856850169569,-0.435871371573,1.56337635246
0.44,0.848146278297,-0.434439908277,1.53307323573
0.46,0.839475441583,-0.432577834937,1.50299982568
0.48,0.830845590768,-0.430351572748,1.47321002948
0.5,0.822263423902,-0.427818260521,1.44374850859
0.52,0.813734578192,-0.425027042671,1.41465192099
0.54,0.805263778522,-0.422020178586,1.38595002157
0.56,0.796854965359,-0.418833998143,1.35766663064
0.58,0.788511404909,-0.415499724718,1.32982048196
0.6,0.78023578398,-0.412044184052,1.30242596201
0.62,0.772030291681,-0.408490414809,1.27549375204
0.64,0.763896689772,-0.404858194464,1.2490313841
0.66,0.755836373246,-0.401164492246,1.22304372116
0.68,0.747850422493,-0.397423859273,1.1975333708
0.7,0.739939648222,-0.393648764569,1.17250104095
0.72,0.732104630137,-0.389849884483,1.14794584515
0.74,0.724345750231,-0.386036351965,1.12386556428
0.76,0.716663221459,-0.382215971259,1.10025687033
0.78,0.709057112414,-0.37839540283,1.07711551777
0.8,0.70152736857,-0.37458032263,1.05443650676
0.82,0.694073830568,-0.37077555927,1.03221422224
0.84,0.686696249952,-0.366985212172,1.01044255237
0.86,0.679394302707,-0.363212753317,0.989114989188
0.88,0.672167600913,-0.35946111489,0.968224713995
0.9,0.665015702768,-0.355732764753,0.947764669814
0.92,0.657938121202,-0.352029771448,0.927727622654
0.94,0.650934331297,-0.348353860188,0.908106213277
0.96,0.644003776657,-0.344706461062,0.888893000846
0.98,0.637145874882,-0.341088750562,0.870080499639
1,0.630360022278,-0.337501687337,0.85166120985
1.02,0.623645597894,-0.333946042986,0.833627643358
1.04,0.617001966995,-0.330422428573,0.815972345204
1.06,0.610428484036,-0.326931317462,0.798687911415
1.08,0.603924495217,-0.323473064974,0.781767003728
1.1,0.597489340666,-0.320047925318,0.765202361669
